# lerobot/smolvla_base@main :: model.safetensors
# 500 tensors, 450046176 parameters
# <name>\t<dtype>\t<shape>
model.action_in_proj.bias	F32	720
model.action_in_proj.weight	F32	720,32
model.action_out_proj.bias	F32	32
model.action_out_proj.weight	F32	32,720
model.action_time_mlp_in.bias	F32	720
model.action_time_mlp_in.weight	F32	720,1440
model.action_time_mlp_out.bias	F32	720
model.action_time_mlp_out.weight	F32	720,720
model.state_proj.bias	F32	960
model.state_proj.weight	F32	960,32
model.vlm_with_expert.lm_expert.layers.0.input_layernorm.weight	BF16	720
model.vlm_with_expert.lm_expert.layers.0.mlp.down_proj.weight	BF16	720,2048
model.vlm_with_expert.lm_expert.layers.0.mlp.gate_proj.weight	BF16	2048,720
model.vlm_with_expert.lm_expert.layers.0.mlp.up_proj.weight	BF16	2048,720
model.vlm_with_expert.lm_expert.layers.0.post_attention_layernorm.weight	BF16	720
model.vlm_with_expert.lm_expert.layers.0.self_attn.k_proj.weight	BF16	320,720
model.vlm_with_expert.lm_expert.layers.0.self_attn.o_proj.weight	BF16	720,960
model.vlm_with_expert.lm_expert.layers.0.self_attn.q_proj.weight	BF16	960,720
model.vlm_with_expert.lm_expert.layers.0.self_attn.v_proj.weight	BF16	320,720
model.vlm_with_expert.lm_expert.layers.1.input_layernorm.weight	BF16	720
model.vlm_with_expert.lm_expert.layers.1.mlp.down_proj.weight	BF16	720,2048
model.vlm_with_expert.lm_expert.layers.1.mlp.gate_proj.weight	BF16	2048,720
model.vlm_with_expert.lm_expert.layers.1.mlp.up_proj.weight	BF16	2048,720
model.vlm_with_expert.lm_expert.layers.1.post_attention_layernorm.weight	BF16	720
model.vlm_with_expert.lm_expert.layers.1.self_attn.k_proj.weight	F32	320,320
model.vlm_with_expert.lm_expert.layers.1.self_attn.o_proj.weight	BF16	720,960
model.vlm_with_expert.lm_expert.layers.1.self_attn.q_proj.weight	BF16	960,720
model.vlm_with_expert.lm_expert.layers.1.self_attn.v_proj.weight	F32	320,320
model.vlm_with_expert.lm_expert.layers.10.input_layernorm.weight	BF16	720
model.vlm_with_expert.lm_expert.layers.10.mlp.down_proj.weight	BF16	720,2048
model.vlm_with_expert.lm_expert.layers.10.mlp.gate_proj.weight	BF16	2048,720
model.vlm_with_expert.lm_expert.layers.10.mlp.up_proj.weight	BF16	2048,720
model.vlm_with_expert.lm_expert.layers.10.post_attention_layernorm.weight	BF16	720
model.vlm_with_expert.lm_expert.layers.10.self_attn.k_proj.weight	BF16	320,720
model.vlm_with_expert.lm_expert.layers.10.self_attn.o_proj.weight	BF16	720,960
model.vlm_with_expert.lm_expert.layers.10.self_attn.q_proj.weight	BF16	960,720
model.vlm_with_expert.lm_expert.layers.10.self_attn.v_proj.weight	BF16	320,720
model.vlm_with_expert.lm_expert.layers.11.input_layernorm.weight	BF16	720
model.vlm_with_expert.lm_expert.layers.11.mlp.down_proj.weight	BF16	720,2048
model.vlm_with_expert.lm_expert.layers.11.mlp.gate_proj.weight	BF16	2048,720
model.vlm_with_expert.lm_expert.layers.11.mlp.up_proj.weight	BF16	2048,720
model.vlm_with_expert.lm_expert.layers.11.post_attention_layernorm.weight	BF16	720
model.vlm_with_expert.lm_expert.layers.11.self_attn.k_proj.weight	F32	320,320
model.vlm_with_expert.lm_expert.layers.11.self_attn.o_proj.weight	BF16	720,960
model.vlm_with_expert.lm_expert.layers.11.self_attn.q_proj.weight	BF16	960,720
model.vlm_with_expert.lm_expert.layers.11.self_attn.v_proj.weight	F32	320,320
model.vlm_with_expert.lm_expert.layers.12.input_layernorm.weight	BF16	720
model.vlm_with_expert.lm_expert.layers.12.mlp.down_proj.weight	BF16	720,2048
model.vlm_with_expert.lm_expert.layers.12.mlp.gate_proj.weight	BF16	2048,720
model.vlm_with_expert.lm_expert.layers.12.mlp.up_proj.weight	BF16	2048,720
model.vlm_with_expert.lm_expert.layers.12.post_attention_layernorm.weight	BF16	720
model.vlm_with_expert.lm_expert.layers.12.self_attn.k_proj.weight	BF16	320,720
